# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
ATL  # 2826  Hartsfield Jackson Atlanta International Airport (US) [large_airport]
ORD  # 2108  Chicago O'Hare International Airport (US) [large_airport]
LAX  # 1990  Los Angeles International Airport (US) [large_airport]
DFW  # 1936  Dallas Fort Worth International Airport (US) [large_airport]
JFK  # 1911  John F. Kennedy International Airport (US) [large_airport]
DEN  # 1735  Denver International Airport (US) [large_airport]
MIA  # 1734  Miami International Airport (US) [large_airport]
YYZ  # 1636  Toronto Pearson International Airport (CA) [large_airport]
CLT  # 1600  Charlotte Douglas International Airport (US) [large_airport]
PHL  # 1576  Philadelphia International Airport (US) [large_airport]
PHX  # 1508  Phoenix Sky Harbor International Airport (US) [large_airport]
EWR  # 1505  Newark Liberty International Airport (US) [large_airport]
SFO  # 1499  San Francisco International Airport (US) [large_airport]
LAS  # 1498  Harry Reid International Airport (US) [large_airport]
IAH  # 1485  George Bush Intercontinental Airport (US) [large_airport]
MEX  # 1483  Mexico City Benito Juárez International Airport (MX) [large_airport]
MCO  # 1475  Orlando International Airport (US) [large_airport]
DTW  # 1433  Detroit Metropolitan Wayne County Airport (US) [large_airport]
MSP  # 1430  Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field (US) [large_airport]
BOS  # 1424  Boston Logan International Airport (US) [large_airport]
SEA  # 1403  Seattle–Tacoma International Airport (US) [large_airport]
DCA  # 1388  Ronald Reagan Washington National Airport (US) [large_airport]
IAD  # 1386  Washington Dulles International Airport (US) [large_airport]
FLL  # 1374  Fort Lauderdale Hollywood International Airport (US) [large_airport]
YUL  # 1371  Montreal / Pierre Elliott Trudeau International Airport (CA) [large_airport]
LGA  # 1316  LaGuardia Airport (US) [large_airport]
YVR  # 1315  Vancouver International Airport (CA) [large_airport]
CUN  # 1311  Cancún International Airport (MX) [large_airport]
BWI  # 1286  Baltimore/Washington International Thurgood Marshall Airport (US) [large_airport]
SLC  # 1278  Salt Lake City International Airport (US) [large_airport]
TPA  # 1276  Tampa International Airport (US) [large_airport]
MDW  # 1271  Chicago Midway International Airport (US) [large_airport]
MSY  # 1248  Louis Armstrong New Orleans International Airport (US) [large_airport]
SAN  # 1238  San Diego International Airport (US) [large_airport]
HNL  # 1233  Daniel K. Inouye International Airport (US) [large_airport]
PDX  # 1230  Portland International Airport (US) [large_airport]
YYC  # 1228  Calgary International Airport (CA) [large_airport]
STL  # 1221  St. Louis Lambert International Airport (US) [large_airport]
PTY  # 1212  Tocumen International Airport (PA) [large_airport]
SJU  # 1204  Luis Munoz Marin International Airport (PR) [large_airport]
GDL  # 1185  Guadalajara International Airport (MX) [large_airport]
AUS  # 1167  Austin Bergstrom International Airport (US) [large_airport]
RDU  # 1167  Raleigh-Durham International Airport (US) [large_airport]
BNA  # 1164  Nashville International Airport (US) [large_airport]
CLE  # 1161  Cleveland Hopkins International Airport (US) [large_airport]
MCI  # 1159  Kansas City International Airport (US) [large_airport]
CVG  # 1150  Cincinnati Northern Kentucky International Airport (US) [large_airport]
HOU  # 1149  William P. Hobby Airport (US) [large_airport]
SJO  # 1149  Juan Santamaría International Airport (CR) [large_airport]
PIT  # 1148  Pittsburgh International Airport (US) [large_airport]
MTY  # 1145  Monterrey International Airport (MX) [large_airport]
PUJ  # 1143  Punta Cana International Airport (DO) [large_airport]
YEG  # 1139  Edmonton International Airport (CA) [large_airport]
IND  # 1138  Indianapolis International Airport (US) [large_airport]
SAT  # 1136  San Antonio International Airport (US) [large_airport]
NAS  # 1129  Lynden Pindling International Airport (BS) [large_airport]
CMH  # 1128  John Glenn Columbus International Airport (US) [large_airport]
RSW  # 1128  Southwest Florida International Airport (US) [large_airport]
MKE  # 1125  General Mitchell International Airport (US) [large_airport]
SJC  # 1120  Norman Y. Mineta San Jose International Airport (US) [large_airport]
ANC  # 1118  Ted Stevens Anchorage International Airport (US) [large_airport]
SXM  # 1114  Princess Juliana International Airport (SX) [large_airport]
MEM  # 1112  Memphis International Airport (US) [large_airport]
OAK  # 1111  San Francisco Bay Oakland International Airport (US) [large_airport]
SMF  # 1108  Sacramento International Airport (US) [large_airport]
SAL  # 1105  El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez (SV) [large_airport]
BDL  # 1103  Bradley International Airport (US) [large_airport]
SJD  # 1101  Los Cabos International Airport (MX) [large_airport]
SFB  # 1097  Orlando Sanford International Airport (US) [large_airport]
YHZ  # 1095  Halifax / Stanfield International Airport (CA) [large_airport]
SDQ  # 1093  Las Américas International Airport (DO) [large_airport]
PVR  # 1092  Puerto Vallarta International Airport (MX) [large_airport]
JAX  # 1091  Jacksonville International Airport (US) [large_airport]
AUA  # 1090  Queen Beatrix International Airport (AW) [large_airport]
YOW  # 1089  Ottawa Macdonald-Cartier International Airport (CA) [large_airport]
MBJ  # 1089  Sangster International Airport (JM) [large_airport]
PBI  # 1088  Palm Beach International Airport (US) [large_airport]
HAV  # 1087  José Martí International Airport (CU) [large_airport]
SNA  # 1086  John Wayne Orange County International Airport (US) [large_airport]
ABQ  # 1083  Albuquerque International Sunport (US) [large_airport]
SDF  # 1083  Louisville Muhammad Ali International Airport (US) [large_airport]
TIJ  # 1083  General Abelardo L. Rodriguez International Airport (MX) [large_airport]
OKC  # 1081  OKC Will Rogers World Airport (US) [large_airport]
YWG  # 1081  Winnipeg / James Armstrong Richardson International Airport (CA) [large_airport]
GUA  # 1077  La Aurora International Airport (GT) [large_airport]
RIC  # 1076  Richmond International Airport (US) [large_airport]
DAL  # 1075  Dallas Love Field (US) [large_airport]
ORF  # 1074  Norfolk International Airport (US) [large_airport]
BUF  # 1071  Buffalo Niagara International Airport (US) [large_airport]
BHM  # 1071  Birmingham-Shuttlesworth International Airport (US) [large_airport]
POS  # 1070  Piarco International Airport (TT) [large_airport]
CHS  # 1069  Charleston International Airport (US) [large_airport]
