# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
GRU  # 1387  São Paulo/Guarulhos–Governor André Franco Montoro International Airport (BR) [large_airport]
BOG  # 1307  El Dorado International Airport (CO) [large_airport]
LIM  # 1228  Jorge Chávez International Airport (PE) [large_airport]
BSB  # 1197  Presidente Juscelino Kubitschek International Airport (BR) [large_airport]
GIG  # 1194  Rio Galeão – Tom Jobim International Airport (BR) [large_airport]
CCS  # 1179  Maiquetía Simón Bolívar International Airport (VE) [large_airport]
SCL  # 1158  Comodoro Arturo Merino Benítez International Airport (CL) [large_airport]
EZE  # 1149  Ezeiza International Airport - Ministro Pistarini (AR) [large_airport]
AEP  # 1128  Aeroparque Jorge Newbery (AR) [large_airport]
SSA  # 1116  Deputado Luiz Eduardo Magalhães International Airport (BR) [large_airport]
VCP  # 1114  Viracopos International Airport (BR) [large_airport]
CNF  # 1110  Tancredo Neves International Airport (BR) [large_airport]
CGH  # 1094  Congonhas–Deputado Freitas Nobre Airport (BR) [large_airport]
POA  # 1086  Porto Alegre-Salgado Filho International Airport (BR) [large_airport]
CWB  # 1086  Curitiba-Afonso Pena International Airport (BR) [large_airport]
UIO  # 1078  Mariscal Sucre International Airport (EC) [large_airport]
REC  # 1072  Recife/Guararapes - Gilberto Freyre International Airport (BR) [large_airport]
GYE  # 1071  José Joaquín de Olmedo International Airport (EC) [large_airport]
FOR  # 1069  Pinto Martins International Airport (BR) [large_airport]
BEL  # 1068  Val de Cans/Júlio Cezar Ribeiro International Airport (BR) [large_airport]
CGB  # 1066  Várzea Grande–Marechal Rondon International Airport (BR) [large_airport]
MAO  # 1064  Eduardo Gomes International Airport (BR) [large_airport]
SDU  # 1061  Santos Dumont Airport (BR) [large_airport]
CLO  # 1057  Alfonso Bonilla Aragon International Airport (CO) [large_airport]
MDE  # 1052  Jose Maria Córdova International Airport (CO) [large_airport]
LPB  # 1051  El Alto International Airport (BO) [large_airport]
VVI  # 1048  Viru Viru International Airport (BO) [large_airport]
MVD  # 1046  Carrasco General Cesáreo L. Berisso International Airport (UY) [large_airport]
GYN  # 1043  Santa Genoveva International Airport (BR) [large_airport]
FLN  # 1042  Hercílio Luz International Airport (BR) [large_airport]
ASU  # 1036  Silvio Pettirossi International Airport (PY) [large_airport]
NAT  # 1032  Rio Grande do Norte/São Gonçalo do Amarante–Governador Aluízio Alves International Airport (BR) [large_airport]
VIX  # 1032  Eurico de Aguiar Salles International Airport (BR) [large_airport]
SLZ  # 1031  Marechal Cunha Machado International Airport (BR) [large_airport]
MAR  # 1028  La Chinita International Airport (VE) [large_airport]
COR  # 1026  Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport (AR) [large_airport]
MCZ  # 1026  Zumbi dos Palmares International Airport (BR) [large_airport]
CTG  # 1024  Rafael Nuñez International Airport (CO) [large_airport]
IGU  # 1024  Cataratas International Airport (BR) [large_airport]
CUZ  # 1022  Alejandro Velasco Astete International Airport (PE) [large_airport]
ANF  # 1022  Andrés Sabella Gálvez International Airport (CL) [large_airport]
BLA  # 1022  General José Antonio Anzoategui International Airport (VE) [large_airport]
JPA  # 1022  Presidente Castro Pinto International Airport (BR) [large_airport]
PZO  # 1022  General Manuel Carlos Piar International Airport (VE) [large_airport]
MDZ  # 1021  Governor Francisco Gabrielli International Airport (AR) [large_airport]
BPS  # 1021  Porto Seguro International Airport (BR) [large_airport]
PMC  # 1020  El Tepual International Airport (CL) [large_airport]
AQP  # 1020  Rodríguez Ballón International Airport (PE) [large_airport]
PBM  # 1020  Johan Adolf Pengel International Airport (SR) [large_airport]
BAQ  # 1020  Ernesto Cortissoz International Airport (CO) [large_airport]
VLN  # 1020  Arturo Michelena International Airport (VE) [large_airport]
RAO  # 238  Leite Lopes Airport (BR) [medium_airport]
CGR  # 234  Campo Grande Airport (BR) [medium_airport]
UDI  # 230  Ten. Cel. Aviador César Bombonato Airport (BR) [medium_airport]
AJU  # 226  Aracaju - Santa Maria Airport (BR) [medium_airport]
STM  # 225  Santarém - Maestro Wilson Fonseca International Airport (BR) [medium_airport]
LDB  # 223  Governor José Richa Airport (BR) [medium_airport]
EOH  # 222  Enrique Olaya Herrera Airport (CO) [medium_airport]
MAB  # 222  João Correa da Rocha Airport (BR) [medium_airport]
MGF  # 220  Regional de Maringá - Sílvio Name Júnior Airport (BR) [medium_airport]
THE  # 220  Senador Petrônio Portela Airport (BR) [medium_airport]
