# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
JNB  # 1320  O.R. Tambo International Airport (ZA) [large_airport]
TFS  # 1318  Tenerife Sur Airport (ES) [large_airport]
LPA  # 1308  Gran Canaria Airport (ES) [large_airport]
CAI  # 1303  Cairo International Airport (EG) [large_airport]
NBO  # 1258  Jomo Kenyatta International Airport (KE) [large_airport]
CMN  # 1250  Mohammed V International Airport (MA) [large_airport]
ACE  # 1233  César Manrique-Lanzarote Airport (ES) [large_airport]
ADD  # 1214  Addis Ababa Bole International Airport (ET) [large_airport]
FUE  # 1192  Fuerteventura Airport (ES) [large_airport]
TUN  # 1175  Tunis Carthage International Airport (TN) [large_airport]
ALG  # 1170  Houari Boumediene Airport (DZ) [large_airport]
RAK  # 1145  Marrakesh Menara Airport (MA) [large_airport]
DKR  # 1134  Léopold Sédar Senghor International Airport (SN) [large_airport]
BIO  # 1128  Bilbao Airport (ES) [large_airport]
SVQ  # 1127  Seville Airport (ES) [large_airport]
LOS  # 1117  Murtala Muhammed International Airport (NG) [large_airport]
ACC  # 1107  Kotoka International Airport (GH) [large_airport]
ABJ  # 1102  Félix-Houphouët-Boigny International Airport (CI) [large_airport]
GRO  # 1098  Girona-Costa Brava Airport (ES) [large_airport]
DLA  # 1098  Douala International Airport (CM) [large_airport]
LAD  # 1092  Quatro de Fevereiro International Airport (AO) [large_airport]
CPT  # 1084  Cape Town International Airport (ZA) [large_airport]
MRU  # 1082  Sir Seewoosagur Ramgoolam International Airport (MU) [large_airport]
KRT  # 1081  Khartoum International Airport (SD) [large_airport]
HBE  # 1081  Alexandria International Airport (EG) [large_airport]
COO  # 1080  Cotonou Cadjehoun International Airport (BJ) [large_airport]
HRG  # 1079  Hurghada International Airport (EG) [large_airport]
KGL  # 1078  Kigali International Airport (RW) [large_airport]
DJE  # 1072  Djerba Zarzis International Airport (TN) [large_airport]
DAR  # 1067  Julius Nyerere International Airport (TZ) [large_airport]
TFN  # 1066  Tenerife Norte-Ciudad de La Laguna Airport (ES) [large_airport]
LUN  # 1066  Kenneth Kaunda International Airport (ZM) [large_airport]
ORN  # 1066  Oran Es-Sénia (Ahmed Ben Bella) International Airport (DZ) [large_airport]
OUA  # 1066  Ouagadougou Thomas Sankara International Airport (BF) [large_airport]
EBB  # 1065  Entebbe International Airport (UG) [large_airport]
HRE  # 1057  Robert Gabriel Mugabe International Airport (ZW) [large_airport]
AGA  # 1056  Al Massira Airport (MA) [large_airport]
ABV  # 1056  Nnamdi Azikiwe International Airport (NG) [large_airport]
FIH  # 1055  Ndjili International Airport (CD) [large_airport]
BKO  # 1055  Modibo Keita International Airport (ML) [large_airport]
TNR  # 1054  Ivato International Airport (MG) [large_airport]
BEN  # 1050  Benina International Airport (LY) [large_airport]
BZV  # 1049  Maya-Maya International Airport (CG) [large_airport]
LBV  # 1048  Libreville Leon M'ba International Airport (GA) [large_airport]
FNA  # 1044  Lungi International Airport (SL) [large_airport]
DUR  # 1042  King Shaka International Airport (ZA) [large_airport]
JRO  # 1041  Kilimanjaro International Airport (TZ) [large_airport]
LFW  # 1041  Lomé–Tokoin International Airport (TG) [large_airport]
JIB  # 1040  Djibouti-Ambouli Airport (DJ) [large_airport]
RUN  # 1040  Roland Garros Airport (RE) [large_airport]
WDH  # 1038  Hosea Kutako International Airport (NA) [large_airport]
TNG  # 1038  Tangier Ibn Battuta Airport (MA) [large_airport]
NSI  # 1038  Yaoundé Nsimalen International Airport (CM) [large_airport]
FEZ  # 1036  Fes Saïss International Airport (MA) [large_airport]
CKY  # 1036  Ahmed Sékou Touré International Airport (GN) [large_airport]
PNR  # 1036  Antonio Agostinho-Neto International Airport (CG) [large_airport]
NDR  # 1036  Nador Al Aaroui International Airport (MA) [large_airport]
SID  # 1035  Amílcar Cabral International Airport (CV) [large_airport]
MPM  # 1034  Maputo Airport (MZ) [large_airport]
NIM  # 1034  Diori Hamani International Airport (NE) [large_airport]
RAI  # 1034  Nelson Mandela International Airport (CV) [large_airport]
ROB  # 1032  Roberts International Airport (LR) [large_airport]
DZA  # 1030  Dzaoudzi Pamandzi International Airport (YT) [large_airport]
SSG  # 1028  Malabo International Airport (GQ) [large_airport]
BVC  # 1028  Aristides Pereira International Airport (CV) [large_airport]
CZL  # 1028  Mohamed Boudiaf International Airport (DZ) [large_airport]
BJM  # 1027  Bujumbura Melchior Ndadaye International Airport (BI) [large_airport]
MBA  # 1026  Moi International Airport (KE) [large_airport]
SEZ  # 1026  Seychelles International Airport (SC) [large_airport]
BJL  # 1026  Banjul International Airport (GM) [large_airport]
LLW  # 1025  Kamuzu International Airport (MW) [large_airport]
ZNZ  # 1024  Abeid Amani Karume International Airport (TZ) [large_airport]
JUB  # 1024  Juba International Airport (SS) [large_airport]
MGQ  # 1024  Aden Adde International Airport (SO) [large_airport]
NKC  # 1023  Nouakchott–Oumtounsy International Airport (MR) [large_airport]
RBA  # 1022  Rabat-Salé Airport (MA) [large_airport]
LXR  # 1020  Luxor International Airport (EG) [large_airport]
FBM  # 1020  Lubumbashi International Airport (CD) [large_airport]
HAH  # 1020  Prince Said Ibrahim International Airport (KM) [large_airport]
OUD  # 1020  Oujda Angads Airport (MA) [large_airport]
SFA  # 1020  Sfax Thyna International Airport (TN) [large_airport]
NBE  # 290  Enfidha - Hammamet International Airport (TN) [medium_airport]
WIL  # 237  Nairobi Wilson Airport (KE) [medium_airport]
MIR  # 231  Monastir Habib Bourguiba International Airport (TN) [medium_airport]
