# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
PEK  # 2069  Beijing Capital International Airport (CN) [large_airport]
PVG  # 1825  Shanghai Pudong International Airport (CN) [large_airport]
SIN  # 1814  Singapore Changi Airport (SG) [large_airport]
ICN  # 1740  Incheon International Airport (KR) [large_airport]
HKG  # 1708  Hong Kong International Airport (HK) [large_airport]
DXB  # 1702  Dubai International Airport (AE) [large_airport]
CAN  # 1672  Guangzhou Baiyun International Airport (CN) [large_airport]
BKK  # 1654  Suvarnabhumi Airport (TH) [large_airport]
CTU  # 1647  Chengdu Shuangliu International Airport (CN) [large_airport]
NRT  # 1575  Narita International Airport (JP) [large_airport]
XIY  # 1563  Xi'an Xianyang International Airport (CN) [large_airport]
KMG  # 1545  Kunming Changshui International Airport (CN) [large_airport]
CKG  # 1540  Chongqing Jiangbei International Airport (CN) [large_airport]
TPE  # 1527  Taiwan Taoyuan International Airport (TW) [large_airport]
DEL  # 1517  Indira Gandhi International Airport (IN) [large_airport]
KUL  # 1510  Kuala Lumpur International Airport (MY) [large_airport]
HGH  # 1506  Hangzhou Xiaoshan International Airport (CN) [large_airport]
AUH  # 1473  Zayed International Airport (AE) [large_airport]
SZX  # 1467  Shenzhen Bao'an International Airport (CN) [large_airport]
XMN  # 1466  Xiamen Gaoqi International Airport (CN) [large_airport]
BOM  # 1442  Chhatrapati Shivaji Maharaj International Airport (IN) [large_airport]
SHA  # 1411  Shanghai Hongqiao International Airport (CN) [large_airport]
MNL  # 1386  Ninoy Aquino International Airport (PH) [large_airport]
CSX  # 1377  Changsha Huanghua International Airport (CN) [large_airport]
TAO  # 1376  Qingdao Jiaodong International Airport (CN) [large_airport]
DOH  # 1375  Hamad International Airport (QA) [large_airport]
WUH  # 1374  Wuhan Tianhe International Airport (CN) [large_airport]
JED  # 1372  King Abdulaziz International Airport (SA) [large_airport]
CGK  # 1367  Soekarno-Hatta International Airport (ID) [large_airport]
CGO  # 1348  Zhengzhou Xinzheng International Airport (CN) [large_airport]
NKG  # 1330  Nanjing Lukou International Airport (CN) [large_airport]
HND  # 1315  Tokyo Haneda International Airport (JP) [large_airport]
URC  # 1306  Ürümqi Tianshan International Airport (CN) [large_airport]
KIX  # 1304  Kansai International Airport (JP) [large_airport]
TSN  # 1294  Tianjin Binhai International Airport (CN) [large_airport]
DLC  # 1285  Dalian Zhoushuizi International Airport (CN) [large_airport]
KWE  # 1274  Guiyang Longdongbao International Airport (CN) [large_airport]
RUH  # 1272  King Khalid International Airport (SA) [large_airport]
SHE  # 1272  Shenyang Taoxian International Airport (CN) [large_airport]
TLV  # 1271  Ben Gurion International Airport (IL) [large_airport]
TNA  # 1270  Jinan Yaoqiang International Airport (CN) [large_airport]
FOC  # 1266  Fuzhou Changle International Airport (CN) [large_airport]
HRB  # 1259  Harbin Taiping International Airport (CN) [large_airport]
AYT  # 1253  Antalya International Airport (TR) [large_airport]
KWI  # 1237  Kuwait International Airport (KW) [large_airport]
NNG  # 1228  Nanning Wuxu International Airport (CN) [large_airport]
TYN  # 1220  Taiyuan Wusu International Airport (CN) [large_airport]
AMM  # 1219  Queen Alia International Airport (JO) [large_airport]
SGN  # 1218  Tan Son Nhat International Airport (VN) [large_airport]
SYX  # 1218  Sanya Phoenix International Airport (CN) [large_airport]
HAK  # 1215  Haikou Meilan International Airport (CN) [large_airport]
KWL  # 1214  Guilin Liangjiang International Airport (CN) [large_airport]
MCT  # 1204  Muscat International Airport (OM) [large_airport]
CMB  # 1203  Bandaranaike International Colombo Airport (LK) [large_airport]
DPS  # 1201  Denpasar I Gusti Ngurah Rai International Airport (ID) [large_airport]
MAA  # 1201  Chennai International Airport (IN) [large_airport]
SVX  # 1198  Koltsovo Airport (RU) [large_airport]
SHJ  # 1191  Sharjah International Airport (AE) [large_airport]
LCA  # 1190  Larnaca International Airport (CY) [large_airport]
CCU  # 1188  Netaji Subhash Chandra Bose International Airport (IN) [large_airport]
BLR  # 1185  Kempegowda International Airport Bengaluru (IN) [large_airport]
HAN  # 1174  Noi Bai International Airport (VN) [large_airport]
HET  # 1174  Hohhot Baita International Airport (CN) [large_airport]
KHN  # 1172  Nanchang Changbei International Airport (CN) [large_airport]
BAH  # 1170  Bahrain International Airport (BH) [large_airport]
FUK  # 1170  Fukuoka Airport (JP) [large_airport]
NGO  # 1169  Chubu Centrair International Airport (JP) [large_airport]
RHO  # 1168  Rhodes International Airport "Diagoras" (GR) [large_airport]
NGB  # 1168  Ningbo Lishe International Airport (CN) [large_airport]
LHW  # 1168  Lanzhou Zhongchuan International Airport (CN) [large_airport]
SJW  # 1164  Shijiazhuang Zhengding International Airport (CN) [large_airport]
CTS  # 1162  New Chitose Airport (JP) [large_airport]
DMM  # 1162  King Fahd International Airport (SA) [large_airport]
WNZ  # 1162  Wenzhou Longwan International Airport (CN) [large_airport]
TAS  # 1160  Tashkent International Airport (UZ) [large_airport]
PUS  # 1160  Gimhae International Airport (KR) [large_airport]
MFM  # 1158  Macau International Airport (MO) [large_airport]
HFE  # 1154  Hefei Xinqiao International Airport (CN) [large_airport]
DAC  # 1148  Hazrat Shahjalal International Airport (BD) [large_airport]
HKT  # 1138  Phuket International Airport (TH) [large_airport]
DMK  # 1134  Don Mueang International Airport (TH) [large_airport]
ALA  # 1134  Almaty International Airport (KZ) [large_airport]
ADB  # 1133  Adnan Menderes International Airport (TR) [large_airport]
BEY  # 1133  Beirut Rafic Hariri International Airport (LB) [large_airport]
SUB  # 1131  Juanda International Airport (ID) [large_airport]
CGQ  # 1131  Changchun Longjia International Airport (CN) [large_airport]
KHH  # 1129  Kaohsiung International Airport (TW) [large_airport]
LJG  # 1129  Lijiang Sanyi International Airport (CN) [large_airport]
GYD  # 1128  Heydar Aliyev International Airport (AZ) [large_airport]
MHD  # 1128  Mashhad International Airport (IR) [large_airport]
KHI  # 1125  Jinnah International Airport (PK) [large_airport]
OKA  # 1123  Naha International Airport (JP) [large_airport]
IKA  # 1122  Imam Khomeini International Airport (IR) [large_airport]
THR  # 1119  Mehrabad International Airport (IR) [large_airport]
ZUH  # 1119  Zhuhai Jinwan Airport (CN) [large_airport]
