# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
LHR  # 2047  London Heathrow Airport (GB) [large_airport]
CDG  # 2041  Charles de Gaulle International Airport (FR) [large_airport]
FRA  # 1990  Frankfurt Main Airport (DE) [large_airport]
AMS  # 1903  Amsterdam Airport Schiphol (NL) [large_airport]
BCN  # 1783  Josep Tarradellas Barcelona-El Prat Airport (ES) [large_airport]
MUC  # 1728  Munich Airport (DE) [large_airport]
LGW  # 1708  London Gatwick Airport (GB) [large_airport]
FCO  # 1662  Rome–Fiumicino Leonardo da Vinci International Airport (IT) [large_airport]
MAD  # 1661  Adolfo Suárez Madrid–Barajas Airport (ES) [large_airport]
DME  # 1646  Domodedovo International Airport (RU) [large_airport]
BRU  # 1631  Brussels Airport (BE) [large_airport]
MAN  # 1627  Manchester Airport (GB) [large_airport]
VIE  # 1616  Vienna International Airport (AT) [large_airport]
DUS  # 1570  Düsseldorf Airport (DE) [large_airport]
PMI  # 1548  Palma de Mallorca Airport (ES) [large_airport]
ZRH  # 1494  Zürich Airport (CH) [large_airport]
CPH  # 1457  Copenhagen Kastrup Airport (DK) [large_airport]
ARN  # 1439  Stockholm-Arlanda Airport (SE) [large_airport]
LIS  # 1435  Lisbon Humberto Delgado Airport (PT) [large_airport]
DUB  # 1414  Dublin Airport (IE) [large_airport]
AGP  # 1410  Málaga-Costa del Sol Airport (ES) [large_airport]
ATH  # 1403  Athens Eleftherios Venizelos International Airport (GR) [large_airport]
ORY  # 1402  Paris-Orly Airport (FR) [large_airport]
SVO  # 1397  Sheremetyevo International Airport (RU) [large_airport]
MXP  # 1386  Milan Malpensa International Airport (IT) [large_airport]
LED  # 1367  Pulkovo Airport (RU) [large_airport]
OSL  # 1363  Oslo-Gardermoen International Airport (NO) [large_airport]
PRG  # 1361  Václav Havel Airport Prague (CZ) [large_airport]
STN  # 1343  London Stansted Airport (GB) [large_airport]
GVA  # 1329  Geneva Cointrin International Airport (CH) [large_airport]
HAM  # 1321  Hamburg Helmut Schmidt Airport (DE) [large_airport]
HEL  # 1320  Helsinki Vantaa Airport (FI) [large_airport]
ALC  # 1314  Alicante-Elche Miguel Hernández Airport (ES) [large_airport]
STR  # 1273  Stuttgart Airport (DE) [large_airport]
LYS  # 1273  Lyon Saint-Exupéry Airport (FR) [large_airport]
NCE  # 1269  Nice-Côte d'Azur Airport (FR) [large_airport]
CGN  # 1265  Cologne Bonn Airport (DE) [large_airport]
BHX  # 1264  Birmingham Airport (GB) [large_airport]
MRS  # 1261  Marseille Provence Airport (FR) [large_airport]
VCE  # 1245  Venice Marco Polo Airport (IT) [large_airport]
WAW  # 1240  Warsaw Chopin Airport (PL) [large_airport]
EDI  # 1237  Edinburgh Airport (GB) [large_airport]
CTA  # 1233  Catania-Fontanarossa Airport (IT) [large_airport]
OTP  # 1227  Bucharest Henri Coandă International Airport (RO) [large_airport]
MLA  # 1226  Malta International Airport (MT) [large_airport]
HER  # 1219  Heraklion International Nikos Kazantzakis Airport (GR) [large_airport]
LTN  # 1214  London Luton Airport (GB) [large_airport]
FAO  # 1211  Faro - Gago Coutinho International Airport (PT) [large_airport]
OPO  # 1202  Francisco de Sá Carneiro Airport (PT) [large_airport]
RIX  # 1202  Riga International Airport (LV) [large_airport]
IBZ  # 1202  Ibiza Airport (ES) [large_airport]
BRS  # 1200  Bristol Airport (GB) [large_airport]
GLA  # 1196  Glasgow Airport (GB) [large_airport]
BUD  # 1195  Budapest Liszt Ferenc International Airport (HU) [large_airport]
EMA  # 1192  East Midlands Airport (GB) [large_airport]
BSL  # 1189  EuroAirport Basel–Mulhouse–Freiburg (FR) [large_airport]
BLQ  # 1176  Bologna Guglielmo Marconi Airport (IT) [large_airport]
OVB  # 1175  Novosibirsk Tolmachevo Airport (RU) [large_airport]
