# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
SYD  # 1410  Sydney Kingsford Smith International Airport (AU) [large_airport]
BNE  # 1294  Brisbane International Airport (AU) [large_airport]
MEL  # 1269  Melbourne Airport (AU) [large_airport]
AKL  # 1213  Auckland International Airport (NZ) [large_airport]
PER  # 1182  Perth International Airport (AU) [large_airport]
CNS  # 1110  Cairns International Airport (AU) [large_airport]
ADL  # 1102  Adelaide International Airport (AU) [large_airport]
POM  # 1100  Port Moresby Jacksons International Airport (PG) [large_airport]
DRW  # 1090  Darwin International Airport / RAAF Darwin (AU) [large_airport]
OGG  # 1084  Kahului International Airport (US) [large_airport]
NAN  # 1083  Nadi International Airport (FJ) [large_airport]
PPT  # 1075  Fa'a'ā International Airport (PF) [large_airport]
CHC  # 1072  Christchurch International Airport (NZ) [large_airport]
GUM  # 1070  Antonio B. Won Pat International Airport (GU) [large_airport]
WLG  # 1064  Wellington International Airport (NZ) [large_airport]
OOL  # 1056  Gold Coast Airport (AU) [large_airport]
VLI  # 1056  Bauerfield International Airport (VU) [large_airport]
HIR  # 1046  Honiara International Airport (SB) [large_airport]
LIH  # 1042  Lihue Airport (US) [large_airport]
KOA  # 1041  Ellison Onizuka Kona International Airport at Keāhole (US) [large_airport]
RAR  # 1027  Rarotonga International Airport (CK) [large_airport]
NOU  # 1026  La Tontouta International Airport (NC) [large_airport]
BME  # 1024  Broome International Airport (AU) [large_airport]
SUV  # 1023  Nausori International Airport (FJ) [large_airport]
LAE  # 1022  Nadzab Tomodachi International Airport (PG) [large_airport]
TSV  # 232  Townsville Airport / RAAF Base Townsville (AU) [medium_airport]
CBR  # 226  Canberra Airport (AU) [medium_airport]
ISA  # 226  Mount Isa Airport (AU) [medium_airport]
RAB  # 225  Tokua Airport (PG) [medium_airport]
ASP  # 224  Alice Springs Airport (AU) [medium_airport]
HGU  # 222  Mount Hagen Kagamuga Airport (PG) [medium_airport]
SON  # 222  Santo Pekoa International Airport (VU) [medium_airport]
SPN  # 220  Saipan International Airport (MP) [medium_airport]
